age,qx,lx,dx,Lx,Tx,ex,sex,year
1.0,0.03282,85404.0,2803.0,84003.0,5061484.0,59.26,M,1900
2.0,0.01634,82601.0,1350.0,81926.0,4977482.0,60.26,M,1900
3.0,0.01052,81251.0,855.0,80824.0,4895556.0,60.25,M,1900
4.0,0.00875,80397.0,703.0,80045.0,4814732.0,59.89,M,1900
5.0,0.00628,79693.0,501.0,79443.0,4734687.0,59.41,M,1900
6.0,0.00462,79193.0,366.0,79010.0,4655244.0,58.78,M,1900
7.0,0.00326,78827.0,257.0,78698.0,4576234.0,58.05,M,1900
8.0,0.00256,78569.0,201.0,78469.0,4497536.0,57.24,M,1900
9.0,0.00203,78368.0,159.0,78288.0,4419068.0,56.39,M,1900
10.0,0.00211,78209.0,165.0,78127.0,4340779.0,55.5,M,1900
11.0,0.00217,78044.0,169.0,77960.0,4262653.0,54.62,M,1900
12.0,0.00212,77875.0,165.0,77793.0,4184693.0,53.74,M,1900
13.0,0.00239,77710.0,186.0,77617.0,4106900.0,52.85,M,1900
14.0,0.00254,77525.0,197.0,77426.0,4029283.0,51.97,M,1900
15.0,0.00267,77328.0,206.0,77225.0,3951856.0,51.11,M,1900
16.0,0.0032,77122.0,247.0,76998.0,3874632.0,50.24,M,1900
17.0,0.00378,76875.0,291.0,76730.0,3797633.0,49.4,M,1900
18.0,0.00913,76584.0,700.0,76235.0,3720904.0,48.59,M,1900
19.0,0.00531,75885.0,403.0,75683.0,3644669.0,48.03,M,1900
20.0,0.00507,75482.0,383.0,75291.0,3568985.0,47.28,M,1900
21.0,0.00437,75099.0,328.0,74935.0,3493695.0,46.52,M,1900
22.0,0.00449,74771.0,336.0,74603.0,3418760.0,45.72,M,1900
23.0,0.00472,74435.0,351.0,74259.0,3344157.0,44.93,M,1900
24.0,0.00456,74084.0,338.0,73915.0,3269898.0,44.14,M,1900
25.0,0.00462,73746.0,341.0,73576.0,3195983.0,43.34,M,1900
26.0,0.00467,73405.0,343.0,73234.0,3122407.0,42.54,M,1900
27.0,0.00457,73063.0,334.0,72896.0,3049173.0,41.73,M,1900
28.0,0.00494,72729.0,359.0,72550.0,2976277.0,40.92,M,1900
29.0,0.00504,72370.0,365.0,72188.0,2903728.0,40.12,M,1900
30.0,0.00491,72005.0,354.0,71829.0,2831540.0,39.32,M,1900
31.0,0.00496,71652.0,356.0,71474.0,2759711.0,38.52,M,1900
32.0,0.00472,71296.0,336.0,71128.0,2688237.0,37.71,M,1900
33.0,0.00486,70960.0,345.0,70787.0,2617109.0,36.88,M,1900
34.0,0.00521,70615.0,368.0,70431.0,2546322.0,36.06,M,1900
35.0,0.00553,70247.0,388.0,70053.0,2475891.0,35.25,M,1900
36.0,0.00605,69858.0,423.0,69647.0,2405838.0,34.44,M,1900
37.0,0.00601,69436.0,417.0,69227.0,2336191.0,33.65,M,1900
38.0,0.00555,69019.0,383.0,68827.0,2266964.0,32.85,M,1900
39.0,0.00563,68635.0,386.0,68442.0,2198137.0,32.03,M,1900
40.0,0.00595,68249.0,406.0,68046.0,2129695.0,31.2,M,1900
41.0,0.00627,67843.0,426.0,67630.0,2061648.0,30.39,M,1900
42.0,0.00654,67418.0,441.0,67197.0,1994018.0,29.58,M,1900
43.0,0.00701,66977.0,470.0,66742.0,1926821.0,28.77,M,1900
44.0,0.00721,66507.0,480.0,66267.0,1860079.0,27.97,M,1900
45.0,0.00775,66028.0,512.0,65772.0,1793812.0,27.17,M,1900
